,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
183,Bob,-1.42519,1.04393,3.54817,-1.81941,1.64538,0.67169,Hambo,-0.68491,0.71727,-10.19913,-0.10295,True,-5.35185
184,Jorg,-0.46147,-0.47173,-4.42448,-1.91818,1.74610,-0.44257,Slängpolskor,-1.96521,-0.06006,-8.31526,-1.68216,True,-4.51960
185,Jorg,-0.98747,-0.43495,-3.26730,-1.60997,1.50700,-0.80228,Hambo,-0.06841,1.27161,-9.22108,-1.79967,True,-6.57101
186,Jorg,-1.17858,-0.64235,-0.30896,-2.29754,1.87784,-0.66354,Hambo,-1.08342,-2.44147,-10.53318,2.13469,False,-6.04738
187,Atsuto,-0.42601,-1.32511,-0.96998,-2.64085,2.31157,-1.15055,Slängpolskor,-0.53520,-0.55798,-8.64440,1.63414,True,-2.61503
188,Bob,-2.51511,-0.63441,4.37038,-1.61667,1.43620,-0.31187,Hambo,0.82667,0.16931,-10.21167,-3.43758,True,-10.39036
189,Atsuto,0.66607,1.04191,-8.03023,-2.42055,2.13494,2.24132,Polka,0.67731,-0.48505,-9.20722,0.05244,True,-0.68478
190,Bob,-0.43702,-1.20049,0.62786,-1.37242,1.29318,-0.67219,Slängpolskor,-0.35516,-1.46636,-8.71492,-1.89304,False,-1.87115
191,Jorg,0.49586,0.04221,-1.21484,-2.08640,1.76119,-0.09986,Polka,0.28530,1.64692,-10.36331,0.35274,True,1.87186
192,Atsuto,0.19735,1.61857,-1.48318,-1.70471,1.46055,1.82290,Polka,-0.00861,0.38987,-9.39752,3.26185,Nope False,0.24518
193,Bob,-0.98096,-1.40782,-3.15561,-2.68915,2.54100,-2.17359,Hambo,1.34518,-0.96228,-9.35923,-1.53117,True,-6.48261
194,Jorg,0.10495,0.02125,-1.95460,-2.62809,2.18318,0.73119,Polka,2.34433,2.79671,-6.96720,-1.31398,True,-0.45253
195,Jorg,0.00710,-1.35315,6.79871,-2.32358,2.03777,-1.33335,Polka,-3.41444,-0.37185,-7.69779,-0.46445,True,3.43486
196,Jorg,0.48547,-0.34257,1.35326,-2.44672,2.33617,-0.59459,Polka,0.18083,-1.48973,-7.27978,-0.18944,True,3.10398
197,Jorg,0.38062,0.87025,-1.98640,-1.55782,1.51098,0.75406,Polka,-2.56209,0.25414,-10.04550,-1.45165,True,0.90991
198,Atsuto,0.66771,1.45229,-6.95456,-2.02630,1.74085,1.56298,Polka,-0.43929,-0.65544,-8.56675,-1.18434,True,-0.13874
199,Jorg,2.47503,0.41504,-6.82701,?,2.65516,-0.15185,Polskor,1.98352,1.01262,-8.13133,2.06871,True,8.96163
200,Jorg,-0.55843,-1.18399,-3.25667,-2.86732,2.44935,-0.82221,Slängpolskor,0.54396,-1.05446,-9.01561,-1.67891,True,-4.42049
201,Jorg,-1.62588,0.03423,-2.08323,-1.70634,1.60884,-0.21224,Hambo,0.94019,4.18458,-11.06805,5.03260,True,-9.17103
202,Bob,-0.19494,-0.12427,-1.35465,-2.97241,2.37752,-0.61167,Slängpolskor,0.22254,-0.58352,-9.01796,-2.54089,True,-1.65203
203,Atsuto,0.04348,-1.13982,-0.82062,-2.45145,2.19391,-2.04982,Polka,0.55926,0.67316,-8.22992,1.14271,True,-0.19291
204,Bob,-0.19881,-0.53007,-1.59288,-3.18304,2.83330,-0.00034,Slängpolskor,-1.43695,-2.62414,-7.60615,-1.92459,True,-1.79049
205,Jorg,0.81524,-0.62501,0.45747,-1.43363,1.39706,-1.54501,Schottis,-0.38712,-0.08177,-6.76192,-1.56773,False,4.30493
206,Bob,-1.64807,-1.14878,0.59351,-2.68457,2.18641,-1.73443,Hambo,0.23276,0.06265,-11.44099,-3.00926,False,-7.94361
207,Jorg,1.04290,-0.32972,0.83600,-2.68646,2.32869,-0.94711,Schottis,0.98000,-0.65882,-9.05097,-1.76390,False,5.63249
208,Bob,1.29659,-1.32445,-1.43078,-2.76332,2.16764,-1.90033,Schottis,-0.22251,0.77561,-9.60253,-0.65981,True,5.76756
209,Jorg,0.78029,0.40264,-6.47425,-2.93217,2.60978,0.03970,Schottis,1.12862,0.24693,-8.69966,-0.71718,True,0.66434
210,Bob,-0.30632,0.40915,-3.12510,-1.89858,1.69589,1.39052,Slängpolskor,-0.79194,2.56263,-7.66983,0.46011,True,-3.09417
211,Atsuto,-1.04867,-0.35073,-1.83781,-1.75653,1.56395,-0.43581,Hambo,0.54388,0.83749,-7.88474,1.03457,True,-6.16227
212,Atsuto,0.09176,-0.87846,0.89330,-2.58467,2.33418,-0.42393,Polka,1.07819,0.69752,-10.89431,3.88534,False,0.90544
213,Atsuto,-1.13281,-0.16000,1.32593,-2.02518,1.75497,-0.71535,Hambo,0.34221,0.08430,-7.90768,2.01503,True,-5.00108
214,Atsuto,-0.19480,1.18186,-1.99291,-2.53365,2.28653,0.68012,Slängpolskor,0.59162,0.08259,-8.51545,3.93110,False,-1.97044
215,Bob,-1.46252,-1.47963,2.83668,-2.75546,2.44012,-1.39398,Hambo,3.51701,0.03737,-8.63594,-0.05597,True,-5.89429
216,Jorg,-1.40786,0.36168,0.30947,-2.12749,1.93893,0.65083,Hambo,-0.54624,1.43920,-11.53112,1.76706,False,-6.88458
217,Jorg,0.82417,0.65571,-4.98829,-2.57396,2.36695,-0.28948,Schottis,2.17389,-1.55083,-10.20800,-2.04875,True,1.62671
218,Jorg,-0.34095,-0.97530,-0.71499,-1.78104,1.72888,-0.68541,Slängpolskor,0.86342,-0.13175,-8.24148,-0.38494,True,-2.06222
219,Jorg,-0.25609,0.01856,-1.42865,-2.74154,2.28018,-0.06842,Slängpolskor,-0.50628,-1.37934,-10.42534,-1.90392,True,-1.99476
220,Bob,0.66703,0.21772,-3.20241,-3.02906,2.52196,1.38771,Polka,1.75928,-1.14528,-8.86781,-3.07150,True,1.73393
221,Atsuto,-0.32699,-1.18704,-0.68418,-2.44894,2.22465,-0.13445,Slängpolskor,0.29727,-0.30350,-7.89080,3.58932,True,-1.97705
Jag gjorde upp en eld för dig
Och nu brinner hela skogen
Nu vet jag vad du kommer att säg'
Och det känns som första gången
Kom, vi visar dem att det är vi
Men det visste alla redan
Ut springer du iväg med mig
Ja hör du hur de sjunger?
222,Jorg,1.65672,0.37276,-4.69714,-2.55777,2.11039,0.80906,Polskor,0.11358,1.95958,-10.96786,1.04376,True,5.93502
223,Bob,-0.93816,0.61164,-0.81328,-2.66828,2.16758,0.95931,Hambo,-0.31956,-2.00280,-6.54841,-0.97226,False,-5.09744
224,Jorg,-0.08125,-0.41612,-0.69086,-2.03081,1.86065,-0.33172,Slängpolskor,-1.47603,0.05161,-10.91814,-3.04157,True,-0.75167
225,Jorg,-1.98011,-0.23328,1.02492,-2.10244,1.78929,-1.02174,Hambo,2.41738,-2.05205,-7.95762,-0.14317,False,-9.38810
226,Bob,0.55852,0.29916,-9.00578,-3.52597,2.97282,0.11144,Polka,-0.36646,0.54660,-9.79463,-2.66908,True,-1.71031
227,Jorg,0.41485,0.88571,-1.23152,-2.16091,1.98215,0.96984,Polka,-1.71149,-0.94500,-10.37923,-2.81514,False,1.45847
228,Bob,0.88008,0.36183,-1.42347,-2.03448,1.77876,0.01850,Schottis,-0.15706,2.01972,-10.55116,-2.57352,True,3.68865
229,Jorg,1.90689,-0.56592,-2.51649,-2.90088,2.59221,-0.48431,Polskor,-2.53260,-1.69135,-7.11631,0.72953,True,8.27620
230,Bob,-1.00333,-1.40252,3.95348,-2.93466,2.56721,-1.59207,Hambo,0.53188,-0.26258,-6.60383,-0.54524,True,-3.03989
231,Atsuto,0.44388,-0.10137,-0.56545,-1.41551,1.23519,-0.84367,Polka,-0.93753,-0.27527,-7.00287,2.00944,False,1.93666
232,Jorg,1.52799,-0.28446,0.82555,-2.00855,1.89366,-0.44786,Polskor,-1.22836,-0.39584,-9.19615,-1.99596,False,8.05274
233,Bob,0.55549,0.31258,2.90861,-1.75870,1.71613,-0.25323,Polka,2.92726,-1.73251,-8.45033,-2.59084,True,4.23175
234,Atsuto,-2.36703,-0.60211,0.56916,-2.77271,2.48259,-0.94846,Hambo,0.22402,0.94780,-8.36399,3.70091,False,-11.55059
235,Bob,-1.07718,-0.23872,-2.14722,-3.55268,2.94575,-0.24415,Hambo,-2.06066,4.01625,-7.49623,-0.59651,True,-6.45952
236,Jorg,-1.10089,1.16264,-0.78582,-2.62956,2.15574,0.90986,Hambo,-0.80367,0.33139,-11.48092,2.37161,False,-5.89737
237,Bob,-0.57880,-0.37282,-3.12964,-3.26054,2.73876,-0.45015,Slängpolskor,0.22524,-0.19686,-6.64038,-2.22426,True,-4.45881
238,Jorg,-0.75693,-0.33172,1.41460,-2.45891,2.29962,-0.71279,Hambo,0.81049,0.17164,-5.20870,-0.88564,True,-3.07734
239,Jorg,0.02124,0.90588,-5.47731,-2.04417,1.80370,0.13879,Polka,-1.96968,-2.58293,-12.02011,1.60232,True,-2.63246
240,Atsuto,0.65472,0.80378,-1.75765,-2.49814,2.31102,1.30537,Polka,0.17319,0.06629,-8.43574,3.14866,False,2.39476
241,Atsuto,0.16149,-0.65187,-0.96438,-2.12621,1.80819,-0.76933,Polka,-1.12462,-0.19096,-6.45267,2.08956,True,0.32527
242,Bob,-0.33408,0.36010,4.20179,-2.78427,2.18207,-0.23240,Slängpolskor,-0.51147,0.96134,-8.23626,-4.10515,True,0.43052
243,Jorg,-0.91055,-0.22278,-2.67989,-2.57756,2.21817,0.51048,Hambo,3.56048,2.13882,-7.65775,-0.64127,True,-5.89271
244,Jorg,0.31434,-0.63884,-4.29607,-3.11201,2.67701,-0.78519,Polka,-0.55190,-0.79052,-8.40204,-0.21432,True,-0.57632
245,Jorg,-1.78274,-0.33977,4.07075,-2.44165,2.00668,-0.68290,Hambo,0.76856,-0.30920,-7.77291,0.94818,True,-6.87830
246,Jorg,0.75698,-0.23827,2.42693,-1.80707,1.70068,-0.29868,Schottis,-0.60818,-1.79436,-7.58512,-2.19604,True,4.99838
247,Jorg,-0.21645,0.05693,-2.37892,-2.25841,1.92098,-0.40521,Slängpolskor,1.58228,3.44303,-8.25199,0.80428,True,-2.27174
248,Jorg,0.79575,0.64026,-1.01732,-1.90260,1.78278,0.50869,Schottis,-0.38075,1.87657,-10.74049,3.40865,False,3.47011
249,Atsuto,-1.54756,0.00177,3.31212,-1.52691,1.30325,-0.47891,Hambo,0.20775,0.37417,-10.35646,1.98474,True,-6.08172
250,Jorg,0.27872,0.83394,4.04024,-2.44357,2.05683,0.58239,Polka,2.69705,1.71913,-12.94613,2.49270,True,3.41370
251,Bob,1.07940,-0.10251,-1.21286,-2.39777,2.00434,-0.50120,Schottis,0.01375,0.49962,-7.26272,-1.24264,True,4.79060
252,Bob,0.25133,-1.37285,2.84033,-3.35083,2.81916,-1.38728,Polka,-0.72467,0.20424,-8.09473,-5.22552,True,2.67683
253,Jorg,-0.91062,-1.41207,1.47300,-3.09825,2.69316,-0.56534,Hambo,1.76913,0.98756,-8.40726,-1.14554,False,-3.81660
254,Bob,0.84981,-1.23823,-7.60751,-1.26222,1.21534,-1.59144,Schottis,-0.23054,0.12525,-7.43980,-2.60815,True,0.44528
255,Bob,0.29144,-0.18151,0.56092,-3.17851,2.70650,-0.78216,Polka,-0.98151,-1.48437,-10.38447,-3.07795,False,1.73769
256,Atsuto,0.71302,-0.27506,-6.12554,-2.74535,2.45743,0.11899,Polka,1.29943,0.59965,-9.72935,1.48079,True,0.50232
257,Jorg,1.43278,1.87666,-1.55012,-2.05183,1.81477,2.35286,Schottis,0.84646,-0.87363,-8.12636,-1.23692,False,6.38885
258,Bob,-0.70358,-0.95416,-5.28971,-3.08764,2.65469,-1.49671,Slängpolskor,0.20672,-1.97463,-9.74227,-0.91205,True,-6.16277
259,Jorg,-0.06846,-0.11143,0.57098,-2.11508,1.94151,-0.08607,Slängpolskor,1.67346,2.28559,-6.97559,-2.06877,False,-0.05680
260,Jorg,1.10643,1.44894,1.29473,-2.63555,2.33929,1.97321,Schottis,-0.82785,0.77827,-6.52337,1.32245,True,6.17950
261,Jorg,-0.89134,1.08139,0.42498,-2.60682,2.42591,0.54937,Hambo,0.42624,1.70283,-10.07933,-2.00803,True,-4.24422
262,Bob,0.43910,0.53373,-6.68190,-2.23775,2.12156,1.47092,Polka,0.16379,0.49813,-7.99613,-2.13114,True,-1.14547
263,Jorg,-1.36788,0.63319,-1.07336,-1.67376,1.57880,0.63947,Hambo,1.93473,-1.76342,-9.92128,0.20893,False,-7.37609
264,Bob,-1.06155,-0.60425,-2.03316,-2.79308,2.32061,-1.55631,Hambo,-0.54964,1.22744,-9.28605,-2.20715,True,-6.32435
265,Atsuto,-0.25500,0.05512,-3.54821,-1.66567,1.37932,0.34030,Slängpolskor,-1.04848,0.17574,-8.77020,2.40806,True,-3.04913
266,Bob,-1.70278,0.91166,-1.28693,-1.92518,1.76793,1.35719,Hambo,0.00730,-0.93104,-9.86349,-3.17265,False,-9.15736
267,Jorg,1.43169,-0.08107,-4.28896,-1.70225,1.65020,-0.74024,Schottis,-1.68436,1.24663,-5.29778,0.31919,True,5.01395
268,Jorg,-0.72091,-0.54584,5.54119,-1.88341,1.71097,-0.94621,Slängpolskor,1.01157,1.94802,-10.02761,1.67413,True,-0.83394
269,Jorg,-1.22663,-0.53395,-0.07593,-1.89430,1.74875,-0.78822,Hambo,-0.30055,-0.09408,-9.10565,-0.54876,False,-6.17112
270,Atsuto,0.31998,-0.18062,-7.32004,-1.84081,1.62012,0.24546,Polka,-0.08431,-0.00911,-9.21580,1.51949,True,-2.06013
271,Bob,0.70855,1.52569,-5.22442,-3.48461,2.96858,1.18870,Polka,0.87874,-4.65233,-9.14577,-4.02532,True,0.93056
272,Atsuto,1.03792,0.40375,-4.26076,-2.41312,2.09207,0.81061,Schottis,0.16093,0.05249,-8.64782,1.53337,True,3.05923
273,Jorg,0.73597,-0.58325,-0.77977,-1.92586,1.76671,-0.77347,Polka,-0.33144,-0.71928,-10.60926,-1.06884,True,3.28995
274,Atsuto,0.77090,-0.33589,-2.76025,-1.55750,1.36131,-1.39063,Schottis,-0.46121,-0.22137,-10.33078,3.40284,True,2.47440
275,Atsuto,2.17546,-0.89918,-2.93919,-1.70250,1.55090,-0.00792,Polskor,0.19656,0.08609,-9.23441,5.92740,True,9.40771
276,Atsuto,-1.63841,-0.86368,4.86144,-2.34161,2.09914,-1.82014,Hambo,0.32657,0.90759,-8.02629,4.74775,True,-5.76134
277,Jorg,-0.71582,-0.02963,-1.55332,-2.21151,1.93597,0.06112,Slängpolskor,-0.46473,-0.12540,-9.41525,-1.65355,True,-4.35575
278,Jorg,-0.10112,-0.02058,-2.92837,-2.44737,2.05746,-0.17338,Slängpolskor,-1.77866,-0.16520,-7.83284,-1.07499,True,-1.96979
279,Bob,0.47456,0.00039,1.23720,-2.72885,2.28121,0.03333,Polka,-2.18182,0.84504,-8.54781,-1.46107,True,2.99140
280,Jorg,-0.08696,0.16046,-4.15052,-2.19789,1.97382,-0.30194,Slängpolskor,1.49737,1.57873,-7.00626,-0.22576,True,-2.51004
281,Atsuto,0.06044,0.10924,-1.00375,-1.73216,1.54467,0.21027,Polka,-0.02591,0.66390,-8.56676,0.78729,False,-0.19966
282,Jorg,2.26515,1.49360,-2.70424,-2.70978,2.23872,1.17727,Polskor,1.68446,2.07128,-8.44730,-1.22386,True,9.97364
283,Bob,0.53439,0.97824,-2.93228,-2.13772,1.94949,0.59536,Polka,2.23566,-0.42975,-8.56000,-2.87421,True,1.20583
284,Atsuto,-0.81940,0.74569,3.32559,-1.72878,1.53180,1.35524,Hambo,0.93185,-0.88030,-10.10602,1.01868,True,-2.43419
285,Jorg,-1.29053,0.84125,-1.07583,-2.93625,2.62590,0.55894,Hambo,-0.74911,-1.36653,-10.92044,3.28800,False,-6.99055
286,Jorg,-0.72601,0.34635,0.12713,-2.15242,2.00867,-0.59227,Slängpolskor,-0.90001,-0.46717,-10.16855,0.91932,False,-3.56646
287,Bob,1.62921,0.99136,-6.76702,-2.14377,2.04359,2.01132,Polskor,-4.29396,3.03258,-7.94528,0.53960,True,4.76253
288,Atsuto,-1.52181,-0.21731,6.14578,-1.99772,1.83019,0.07199,Hambo,-1.08341,0.75112,-9.06218,2.72207,True,-4.53614
289,Bob,-0.42569,0.46730,-2.54056,-2.57073,2.47122,0.47913,Slängpolskor,0.75661,1.23757,-9.07161,-2.79610,True,-3.39875
290,Jorg,0.96377,-1.06895,-2.96134,-1.47732,1.44183,-0.83849,Schottis,-1.56373,-3.80424,-7.99483,-1.22318,True,3.33817
291,Jorg,-0.60095,-0.26955,3.00860,-3.06843,2.60982,-1.00912,Slängpolskor,-1.31833,1.75355,-7.27680,-1.26094,True,-1.50046
292,Jorg,-0.61629,0.18213,-0.42842,-2.37207,2.12935,0.04454,Slängpolskor,2.17282,1.84642,-7.90116,-0.88315,False,-3.29565
293,Jorg,-1.35643,-0.66130,3.94678,-2.25846,2.15726,-1.17627,Hambo,-3.23666,-2.09321,-8.63682,-2.86085,True,-4.80877
294,Jorg,0.96603,1.03238,-1.28707,-2.38599,2.20156,0.54168,Schottis,-1.90658,-1.37969,-9.99893,2.04534,False,4.18663
295,Jorg,0.80654,0.56377,0.68907,-2.45917,2.01056,1.00657,Schottis,-1.11919,0.31132,-7.55733,0.22918,True,4.37722
296,Jorg,0.44966,0.16883,6.32628,-2.52283,2.07851,-0.02426,Polka,-0.36423,0.40397,-8.35623,-0.32831,True,5.41143
297,Jorg,-1.00550,-0.32934,2.80638,-2.57210,2.32423,-0.06335,Hambo,0.52292,-0.46492,-6.12394,-0.12921,True,-3.62429
298,Jorg,-0.78073,-0.25805,5.25897,-2.92162,2.49561,-0.50320,Hambo,-0.56587,0.92788,-11.03246,1.62064,True,-1.27417
299,Jorg,-0.22586,0.36792,4.85616,-1.67866,1.53483,-0.26218,Slängpolskor,0.90723,1.60292,-9.94605,-0.80882,True,1.29876
300,Jorg,0.71293,-0.16672,-0.37095,-2.52675,2.07119,-0.53150,Polka,1.40697,0.70749,-9.89435,3.00961,False,3.37919
301,Bob,-1.29374,0.58114,2.03278,-2.05560,1.93212,1.35215,Hambo,-1.41399,0.66709,-7.31495,-1.79422,True,-5.45229
302,Jorg,0.42990,-1.04343,-1.33608,-2.03170,1.91860,-0.99694,Polka,-1.81714,0.78676,-6.95282,-1.31662,True,1.48148
303,Jorg,0.19284,-0.14563,-5.95374,-2.25720,2.13622,-0.63585,Polka,1.10468,3.75796,-9.88914,-1.70316,True,-2.01268
304,Atsuto,-0.32503,-0.02999,-0.54825,-2.03066,1.78566,-0.43985,Slängpolskor,-0.23568,-0.69736,-7.18220,6.43038,False,-1.89930
305,Jorg,-1.57281,-0.71941,-0.53544,-2.44679,2.19897,-1.33905,Hambo,2.05340,0.16118,-6.69659,-1.30901,True,-8.13178
306,Bob,-0.90331,0.06429,1.21685,-2.29064,2.08859,-0.99144,Hambo,-1.97023,-0.61680,-9.68916,-1.64054,True,-3.90812
307,Atsuto,1.92957,0.20303,-4.59958,-2.79552,2.46301,0.79680,Polskor,-0.87586,0.09151,-8.29734,3.70188,True,7.34807
308,Bob,0.48865,0.51516,-3.20964,-2.60284,2.10580,0.91530,Polka,-0.50584,0.45546,-9.07093,-3.32894,True,0.83845
309,Bob,0.76959,0.53359,-5.58026,-3.23998,2.65369,1.04454,Schottis,-1.97931,1.23673,-7.47194,-2.17368,True,1.05784
310,Jorg,-0.72041,-0.69116,-4.15281,-1.71545,1.64597,-0.98374,Slängpolskor,-0.02058,0.60701,-7.32611,0.11200,True,-5.67848
311,Jorg,-0.46054,0.31149,-1.85160,-2.35411,1.92288,0.29545,Slängpolskor,-1.69990,-0.70979,-8.85802,-1.19784,True,-3.22851
312,Jorg,-0.33287,0.51026,-5.78859,-2.27063,2.05618,0.77249,Slängpolskor,2.35112,1.33522,-8.47622,-0.22414,True,-4.55867
313,Atsuto,-0.29100,-1.06335,-1.67060,-2.31616,2.12377,-0.94978,Slängpolskor,0.14205,-1.05927,-11.28865,2.49706,True,-2.29030
314,Jorg,-0.93469,-2.06698,-3.49085,-2.23745,2.14230,-1.08611,Hambo,-0.64838,-2.85114,-7.47780,-1.17016,True,-6.41886
315,Atsuto,-0.15963,-0.67118,-2.79184,-2.07734,1.76923,-1.35076,Slängpolskor,-0.39330,-0.29886,-8.99507,3.49212,True,-2.19407
316,Jorg,-0.55379,-1.49226,-8.13051,-2.47087,2.18062,-1.97795,Slängpolskor,-0.73151,-1.34940,-7.12524,-1.24689,True,-6.83418
317,Bob,-0.29475,-0.85252,5.49488,-2.51391,2.23865,-1.61320,Slängpolskor,-0.50954,-0.01321,-7.93695,-2.82821,True,1.27367
318,Jorg,-0.87760,0.53665,0.09440,-1.68185,1.54823,0.42206,Hambo,0.95498,2.37456,-7.02777,0.22820,False,-4.34079
319,Atsuto,-0.94696,1.29700,-1.99326,-2.60347,2.31960,2.06709,Hambo,0.47906,1.33501,-8.83431,-1.84687,False,-5.73145
320,Jorg,1.94112,0.59955,-3.99305,-2.31230,2.07958,0.80807,Polskor,1.94282,0.83991,-9.87205,2.78135,True,7.70907
321,Jorg,-1.06740,0.39459,-4.57419,-2.83861,2.39951,0.69846,Hambo,0.63241,0.83486,-5.35897,2.10371,True,-7.62411
322,Jorg,-0.75682,0.63139,-5.00973,-2.23740,1.96312,0.71447,Hambo,1.88686,1.98174,-9.18961,-2.39793,True,-6.28897
323,Jorg,-0.17374,-0.26131,1.62892,-2.35828,2.05695,-0.62342,Slängpolskor,1.54874,2.63793,-7.54247,-2.61764,True,-0.05426
324,Jorg,1.00682,0.09239,0.77803,-2.51292,2.27285,-0.05248,Schottis,-0.46630,1.25636,-7.13625,-1.13919,False,5.42311
325,Bob,-0.08578,-0.58851,-3.96444,-2.18238,1.77338,-0.40260,Slängpolskor,1.85063,-2.78592,-10.91494,-3.20820,True,-2.41111
326,Jorg,-1.38126,0.07868,-2.93995,-2.04278,1.77047,-0.55434,Hambo,-0.57650,-2.83117,-11.78719,2.84502,True,-8.37628
327,Jorg,2.23824,-0.11690,-5.33369,-2.71314,2.24114,0.82539,Polskor,-1.28189,0.38099,-9.25425,-1.26312,True,8.52435
328,Atsuto,1.23519,0.07998,2.49302,-2.36358,2.05565,-0.27479,Schottis,1.03188,0.52525,-9.86611,2.71789,True,7.42244
329,Bob,0.64897,0.07428,-1.47145,-2.59957,2.36862,-0.82747,Polka,-0.89296,2.14015,-6.88675,-0.91363,True,2.50914
330,Atsuto,1.36160,0.06770,-1.21617,-2.11318,1.82663,0.06313,Schottis,-0.65364,0.04336,-6.32960,3.25054,True,6.19991
331,Jorg,-0.56335,0.01247,-2.90566,-2.46794,2.17026,0.68554,Slängpolskor,2.89787,2.82697,-10.76387,1.04180,True,-4.26956
332,Jorg,-0.90628,-0.24211,-3.75604,-2.44944,2.29823,0.17575,Hambo,1.42346,0.69633,-10.86362,2.23875,True,-6.40940
333,Bob,-0.48404,0.51789,-2.22373,-1.53188,1.47623,1.16486,Slängpolskor,1.53290,-0.00744,-6.60918,0.62462,True,-3.53207
334,Atsuto,0.32837,1.03888,-5.98478,-2.40763,2.15068,0.27067,Polka,-1.06817,-0.11625,-10.70576,3.14683,True,-1.35056
335,Bob,1.24579,-0.48343,-6.56835,-3.42300,2.91473,-0.95770,Schottis,-0.27418,-1.34630,-9.20036,0.02476,True,2.94476
336,Jorg,1.26686,-0.40689,-2.04282,-2.67742,2.27019,-0.60979,Schottis,-0.48857,0.66948,-8.07614,-2.49000,True,5.31291
337,Jorg,-1.73097,-1.66758,-1.92452,-2.15739,2.02708,-1.72890,Hambo,-0.62112,0.25943,-7.35169,-0.36683,True,-9.61713
338,Jorg,-2.08578,-2.16910,6.56360,-2.63013,2.40714,-2.23600,Hambo,0.75070,-1.82154,-8.10342,-0.85696,True,-7.14711
339,Jorg,-0.21324,0.85429,0.01096,-3.04505,2.55259,0.64792,Slängpolskor,2.72170,0.72211,-8.33169,0.27523,False,-1.06074
340,Atsuto,-1.38798,-0.62549,1.07775,-1.84757,1.60452,0.08811,Hambo,0.09501,0.52024,-9.23738,1.93112,False,-6.40101
341,Jorg,1.21984,0.28658,-6.96106,-2.72174,2.43325,-0.10730,Schottis,1.26028,0.50567,-12.15489,2.34149,True,2.61868
342,Jorg,0.59319,1.14325,-8.59335,-2.26567,1.89864,1.21114,Polka,0.93036,0.14767,-7.83080,-2.28033,True,-1.33074
343,Jorg,0.37562,-0.21405,1.56288,-1.64886,1.50481,0.27710,Polka,-1.95201,-3.69284,-9.39194,-2.37830,True,2.65955
344,Atsuto,-0.19688,1.23862,-3.47318,-1.31204,1.17605,0.59501,Slängpolskor,0.47422,-1.22860,-8.95229,-1.23618,True,-2.72097
345,Bob,-0.71067,-0.57336,0.73599,-3.25707,2.86077,0.59066,Slängpolskor,1.16354,-0.56462,-10.33170,-1.33917,False,-3.18534
346,Jorg,0.01910,-0.60889,-0.58219,-2.36297,2.17251,-1.15910,Polka,1.50588,0.77464,-7.76964,0.25399,True,-0.19561
347,Bob,-1.04842,0.80900,0.77149,-2.74913,2.54337,1.33733,Hambo,-0.46184,1.42670,-9.24655,0.25958,True,-4.85635
348,Jorg,-0.19465,-1.00957,-2.26185,-1.80796,1.62404,-0.66803,Slängpolskor,0.47700,1.24637,-8.32868,0.40543,True,-2.10416
349,Jorg,0.07947,0.76577,2.59385,-2.11367,1.80248,0.54499,Polka,1.53639,0.53278,-6.78428,-0.17002,True,1.69429
350,Jorg,-0.32637,-0.95179,-0.04166,-2.54723,2.20905,-1.03822,Slängpolskor,1.12668,0.11007,-8.36242,-0.12398,False,-1.65267
351,Atsuto,0.48439,0.13887,-1.04662,-1.51114,1.34921,0.09035,Polka,1.64394,-0.29245,-7.97478,2.83646,False,1.89862
352,Atsuto,-0.10731,-0.62221,1.22220,-1.83313,1.60579,-0.14883,Slängpolskor,-0.31317,0.56687,-7.83206,-0.16406,False,0.07457
353,Bob,-0.92391,1.53012,2.45810,-1.59996,1.47113,1.82081,Hambo,-1.20000,0.09759,-9.78518,-1.96959,True,-3.39050
354,Jorg,-0.31660,-1.03532,-4.43391,-2.25317,2.09885,-1.27860,Slängpolskor,2.49435,1.91412,-11.14257,0.13989,True,-3.79994
355,Jorg,-0.50187,-0.80736,-3.94480,-1.68551,1.52378,-1.34302,Slängpolskor,-0.98295,-2.28893,-5.59795,-1.36653,True,-4.48173
356,Jorg,0.42188,0.87213,-3.41306,-1.93241,1.86491,1.58612,Polka,1.19216,-2.70458,-7.74348,-1.58590,True,0.40286
357,Atsuto,-0.78571,-0.48966,0.82614,-2.00540,1.79235,0.47284,Hambo,-1.34744,-0.25949,-9.85560,2.34500,False,-3.51547
358,Atsuto,-0.16923,0.31797,2.53695,-1.79191,1.52546,-0.41911,Slängpolskor,1.57638,0.82302,-10.44769,1.94734,True,0.42235
359,Atsuto,0.17655,0.36469,-4.10803,-1.73495,1.58285,1.78560,Polka,-0.23966,-1.11632,-9.56755,4.26246,True,-1.17127
360,Bob,1.62528,0.91325,-0.40206,-1.88949,1.80750,1.26475,Polskor,-1.84116,0.94601,-11.06880,-2.95258,False,7.92539
361,Bob,0.76729,0.12524,-0.63976,-2.78901,2.21787,0.43027,Schottis,-0.36584,0.49785,-8.66309,-3.19093,False,3.51659
362,Jorg,0.26290,-0.24120,6.52505,-2.78134,2.36705,0.11356,Polka,-1.12081,1.57758,-12.14754,2.14596,True,4.57701
363,Atsuto,1.38551,0.47374,-6.05411,-2.42417,2.13032,-0.14137,Schottis,0.68256,-0.12329,-8.72180,0.88348,True,3.90047
364,Jorg,0.15718,-0.00831,2.23191,-3.04092,2.67173,0.04812,Polka,0.72066,2.34003,-8.66114,0.20085,True,1.90185
